Controller,ControllerSlug,RunType,Simulation,Completed,FinalLongitude_deg,FinalLatitude_deg,FinalAltitude_km,FinalVelocity_kms,FinalHeatLoad_Jm2,FinalPositionX_km,FinalPositionY_km,FinalPositionZ_km,FinalCartesianPositionErrorNorm_km,FinalCartesianVelocityErrorNorm_kms
MPG-SM,sm_mpg,MonteCarlo,20,true,25.002207849939236,3.002027143490376,25.0,0.7332283246973788,99574.97148818577,5795.144935645509,2702.5923375634834,335.34053225693486,0.3347185088771119,0.0419671769666196
MPG-SM,sm_mpg,MonteCarlo,21,true,24.995230839963547,3.0038817726267744,25.0,0.8224878822558678,100087.82661226616,5795.464151023658,2701.8820443014456,335.54751325268785,0.6866453309592575,0.14369427934748066
MPG-SM,sm_mpg,MonteCarlo,22,true,24.99608085114618,3.0019304761700383,25.0,0.7789304495459716,99718.37049129099,5795.4344205147,2701.972849809497,335.32974394583863,0.48770077079168267,0.09332218523399677
MPG-SM,sm_mpg,MonteCarlo,23,true,25.002870539308677,3.0012095544404866,25.0,0.7084323214320583,99164.94322544498,5795.1180129304075,2702.661386922222,335.2492872746793,0.3477104057042414,0.01869346435784047
MPG-SM,sm_mpg,MonteCarlo,24,true,24.997857441978372,3.0006533689290364,25.0,0.7374077597587113,101070.96309504403,5795.357409478033,2702.1557075258115,335.18721554190756,0.2500152691040371,0.04323882681333022
MPG-SM,sm_mpg,MonteCarlo,25,true,24.995985239666837,2.997966535166252,25.0,0.7306266820727872,101241.48526332362,5795.459941991681,2701.9729753083907,334.8873575426488,0.5023938345726481,0.031010706736545674
MPG-SM,sm_mpg,MonteCarlo,26,true,25.001930271755217,2.99963886875239,25.013789244291168,0.696817572961196,99662.43447988706,5795.1831718951025,2702.575987559649,335.0747162195334,0.21960497487943365,0.003686106436057367
MPG-SM,sm_mpg,MonteCarlo,27,true,25.00094540363115,2.998844283769422,25.04370592761167,0.7214967944154764,99995.86314238218,5795.260913413652,2702.490962773417,334.98760328048746,0.17240786489392987,0.021498735711955222
MPG-SM,sm_mpg,MonteCarlo,28,true,24.99812127203415,3.0008885022325305,25.0,0.745023201494117,99379.76584691576,5795.343720044785,2702.181812079744,335.21345702685,0.23199454587948606,0.05494676226431874
MPG-SM,sm_mpg,MonteCarlo,29,true,25.00087420537725,2.999692537047134,25.0,0.6985371805206454,99793.04062718063,5795.220219804576,2702.463218797396,335.07998415962595,0.10343757268396246,0.0061254595551417275
